score,priority,urgencia,horas_restantes,organismo,region,nombre,monto,cliente_previo,organismo_prioritario,oportunidad_estructural,establecimiento_red,matched_high,matched_medium,codigo,fecha_publicacion,fecha_cierre,url
15,ALTA,NORMAL,,CORPORACION MUNICIPAL DE PENALOLEN PARA EL DESARROLO SOCIAL CORMUP,Región Metropolitana de Santiago,10032827 EVALUACIONES Y CAPACITACIÓN TEA Y NEURODI,22000000.0,False,False,,,TEA,capacitación,514862-103-LE26,2026-07-29T12:48:59.93,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=514862-103-LE26
15,ALTA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,Región de Coquimbo,Servicio de producción para salida pedagógica; Escuela Aníbal Pinto,1936725.0,False,False,,,salida pedagógica,servicio local de educación,1002588-83-L126,2026-07-30T16:13:07.923,2026-08-07T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1002588-83-L126
15,ALTA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,Región de Coquimbo,"SERVICIO DE PRODUCCIÓN PARA SALIDA PEDAGÓGICA CIUDAD DE SANTIAGO, ESCUELA PATRICIO LYNCH",6000000.0,False,False,,,salida pedagógica,servicio local de educación,1002588-85-L126,2026-08-03T09:58:16.303,2026-08-10T16:53:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1002588-85-L126
15,ALTA,NORMAL,,JUNTA NACIONAL DE JARDINES         INFANTILES,Región Metropolitana de Santiago,CURSO “INCLUSIÓN DESDE EL ENFOQUE DE DERECHO CON ENFASIS EN NIÑOS Y NIÑAS CON LA CONDICIÓN DEL ESPECTRO AUTISTA” PARA JARDINES INFANTILES VÍA TRANSFERENCICA DE FONDOS Y SERVICIOS LOCALES DE EDUCACIÓN PÚBLICA EN MODALIDAD E-LEARNING,,False,False,,,jardines infantiles,formación,599-19-LP26,2026-07-22T13:40:24.557,2026-08-11T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=599-19-LP26
15,MEDIA,NORMAL,,CORPORACION MUNICIPAL DE MARÍA PINTO,Región Metropolitana de Santiago,Cursos de capacitación para la Dirección de Salud,,False,True,,,,capacitación,1389585-13-L126,2026-07-28T17:18:54.81,2026-08-10T18:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1389585-13-L126
15,MEDIA,NORMAL,,I MUNICIPALIDAD DE COIHUECO,Región del Ñuble,CONTRATACION DE SERVICIOS PARA ESTABLECER UNIDADES DEMOSTRATIVAS Y CAPACITACION PARA EL PROGRAMA PRODESAL DE COIHUECO,5350000.0,False,True,,,,capacitación,229-88-L126,2026-08-03T17:04:46.61,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=229-88-L126
15,MEDIA,NORMAL,,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,Región Metropolitana de Santiago,SERVICIO INTEGRAL TALLER DE FORMACIÓN CIUDADANA AMBIENTAL II,2700000.0,False,True,,,,formación,948-20-L126,2026-07-31T16:43:20,2026-08-07T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=948-20-L126
15,ALTA,NORMAL,,,,"SP 127, Servicio de Coffe para Encuentro territorial Jardines Infantiles del Servicio Local de Educación Pública Costa Araucanía, resto, nhm",,False,False,,,jardines infantiles,servicio local de educación,1028897-767-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1028897-767-AG26
15,ALTA,NORMAL,,,,ADQUISICIÓN DE INSUMOS DE PAQUETERIA PARA EL DIA 06/08/2026 - PROGRAMA CAPACITACIÓN Y TALLERES LABORALES Y PRODUCTIVOS AÑO 2026,,False,False,,,DIA,capacitación,1161266-494-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1161266-494-AG26
15,ALTA,NORMAL,,,,P02/RIG: JUNJI/COMPRA DE CILINDRO ( ENVASE DE 45 KL) DE GAS MAS RECARGA/ PARA JARDINES INFANTILES//ID: 1176812-39-COT26,,False,False,,,jardines infantiles,JUNJI,1176812-61-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1176812-61-AG26
15,ALTA,NORMAL,,,,SHJ-ANUAL- SOL-2025-978- SERVICIOS DE INTERNET Y TELEFONÍA PARA 5 JARDINES INFANTILES DE LA REGIÓN DE ARICA Y PARINACOTA PERTENECIENTES AL SLEP DE CHINCHORRO ARICA. DESDE 1317925-2-LE25,,False,False,,,jardines infantiles,SLEP,1317925-69-SE25,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1317925-69-SE25
15,ALTA,NORMAL,,,,"CSF, RBD 36160-36172-36166-36128-36138, SC 3192-3139-3019-2724-1769, JUNJI, 22-05-003, 5 VALEs DE GAS DE 45 KG y 5 VALES DE GAS DE 15 KG PARA JARDINES INFANTILES ",,False,False,,,jardines infantiles,JUNJI,1432083-1880-CM26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1432083-1880-CM26
15,ALTA,NORMAL,,,,PRODUCCION JORNADA CAPACITACION TRABAJO DIA DEL DIRIGENTE VECINAL 2026 ORDEN DE COMPRA DESDE 1493-36-L126,,False,False,,,DIA,capacitación,1493-496-SE26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1493-496-SE26
15,ALTA,NORMAL,,,," Coffe para CURSO: “LEY TEA: HACIA UNA ATENCIÓN MÁS INCLUSIVA FECHA DE EJECUCIÓN: 18 - 19 Y 25 de junio de 2026, DEPARTAMENTO DE CAPACITACION ,HOSPITAL DE LONQUIMAY",,False,False,,,TEA,capacitación,2103-381-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2103-381-AG26
15,ALTA,NORMAL,,,,S125-2026 ALCOHOL DEL 70° PARA LOS JARDINES INFANTILES VTF FINANCIAMIENTO JUNJI,,False,False,,,jardines infantiles,JUNJI,5060-465-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5060-465-AG26
15,ALTA,NORMAL,,,,S140-2026 ADQ. PAPEL HIGIENICO PARA LOS JARDINES INFANTILES VTF FINANCIAMIENTO JUNJI,,False,False,,,jardines infantiles,JUNJI,5060-484-CM26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5060-484-CM26
15,ALTA,NORMAL,,,,MATERIALES DE OFICINA UNIDAD UTP SEP,,False,False,,,SEP,UTP,514848-659-SE26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=514848-659-SE26
15,ALTA,NORMAL,,,,"GDP MANTENCIÓN Y RECARGA EXTINTORES, JARDINES INFANTILES, PROG 02, JUNJI REG DE LOS LAGOS, SC 60607, CP 1412",,False,False,,,jardines infantiles,JUNJI,853-147-SE26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=853-147-SE26
15,ALTA,NORMAL,,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Región Metropolitana de Santiago,"Servicios de Alojamiento, cenas y almuerzos Crecer mas  y jornada de Neurodiversidad.",3168000.0,False,False,,,neurodiversidad,formación,707415-23-L126,2026-08-03T16:11:00,2026-08-12T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=707415-23-L126
15,ALTA,NORMAL,,FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ,Región Metropolitana de Santiago,PATIOS DE SERVICIO 3 JARDINES INFANTILES RMSO,15000000.0,False,False,,,jardines infantiles,Integra,707428-24-LE26,2026-08-03T15:25:38.733,2026-08-14T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=707428-24-LE26
15,MEDIA,NORMAL,,I MUNICIPALIDAD DE TALCA,Región del Maule,SERVICIO DE COFFE BREAK Y SALÓN PARA FUNCIONARIOS PARTICIPANTES DE CAPACITACIONES COMUNALES PLAN ANUAL DE CAPACITACIÓN AÑO 2026,20400000.0,False,True,,,,capacitación,2292-48-LE26,2026-08-04T17:31:42.757,2026-08-14T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2292-48-LE26
15,MEDIA,NORMAL,,I MUNICIPALIDAD DE LAS CONDES,Región Metropolitana de Santiago,DIPLOMADOS Y CURSOS DE FORMACIÓN PARA FUNCIONARIOS MUNICIPALES,,False,False,,,,habilidades blandas · capacitación · formación,2345-142-LP26,2026-08-03T16:51:21.353,2026-08-24T15:01:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2345-142-LP26
15,MEDIA,NORMAL,,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,Región Metropolitana de Santiago,Plan de Formación de Directores,300000000.0,False,True,,,,formación,592-22-LP26,2026-07-30T12:02:05.333,2026-08-31T20:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=592-22-LP26
15,ALTA,NORMAL,,JUNTA NACIONAL DE JARDINES         INFANTILES,Región de Magallanes y de la Antártica,CHEE- SUM. MANTENCIÓN DE AREAS VERDES JUNJI XII,87000000.0,False,False,,,jardines infantiles,JUNJI,855-15-LP26,2026-07-31T13:55:10.683,2026-08-20T17:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=855-15-LP26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE PROVIDENCIA,Región Metropolitana de Santiago,“DESARROLLO DE PROYECTO DE ARQUITECTURA Y ESPECIALIDADES CENTRO DÍA ADULTO MAYOR FARMACIA Y PLAZA CENTRAL SANTA ISABEL”,,False,False,,,DIA,,2490-65-LP26,2026-07-10T19:48:00,2026-08-05T15:10:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2490-65-LP26
10,ALTA,NORMAL,,SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,Región Metropolitana de Santiago,Servicio de presentaciones del Teatro Tradicional de Títeres para el Día Nacional del Títere y la Marioneta.,7000000.0,False,False,,,DIA,,1067476-27-L126,2026-07-30T17:39:50.97,2026-08-06T20:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1067476-27-L126
10,ALTA,NORMAL,,I MUNICIPALIDAD DE RECOLETA,Región Metropolitana de Santiago,CONMEMORACIÓN DEL DÍA DEL DIRIGENTE SOCIAL,50000000.0,False,False,,,DIA,,1431841-43-LE26,2026-07-23T17:32:00,2026-08-06T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1431841-43-LE26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE SAN RAFAEL,Región del Maule,DAEM SAN RAFAEL,,False,False,,,DAEM,,3209-26-L126,2026-07-31T17:03:00,2026-08-06T15:40:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3209-26-L126
10,ALTA,NORMAL,,ILUSTRE MUNICIPALIDAD DE PICHILEMU,Región del Libertador General Bernardo O´Higgins,ADQUISICION MATERIALES DE ENSEÑANZA DIDACTICOS MOBILIARIO Y OTROS PARA PIE COLEGIO DIVINO MAESTRO,11100000.0,False,False,,,PIE,,3928-50-LE26,2026-07-21T15:00:35.767,2026-08-06T14:20:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3928-50-LE26
10,ALTA,NORMAL,,CORP NACIONAL DE DESARROLLO INDIGENA,Región de Valparaíso,Conmemoración Día de la Mujer Indígena en Rapa Nui,,False,False,,,DIA,,804-4-LE26,2026-07-23T13:43:21.507,2026-08-06T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=804-4-LE26
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Región de Arica y Parinacota,"PROVISIÓN DE SENSORES INTERACTIVOS PARA ESTABLECIMIENTO EDUCACIONAL ESCUELA RICARDO SILVA ARRIAGADA y ESCUELA MOLINOS LLUTA, PERTENECIENTES AL SLEP CHINCHORRO, ARICA, SEGUNDO LLAMADO",,False,False,,,,SLEP · servicio local de educación,1110404-130-L126,2026-07-29T16:23:09.117,2026-08-06T10:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1110404-130-L126
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Región de Arica y Parinacota,“CONTRATACIÓN DE SERVICIOS ASOCIADOS AL PROYECTO DE CONSERVACIÓN DE FACHADAS PARA 10 ESTABLECIMIENTOS EDUCACIONALES DEL SLEP CHINCHORRO CÓDIGO BIP 40066973-0,1342691000.0,False,False,,,,SLEP · servicio local de educación,1260113-3-LR26,2026-07-06T09:58:00,2026-08-06T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1260113-3-LR26
10,ALTA,NORMAL,,CORPORACION DE DESARROLLO TERRITORIAL Y TURISMO DE LA REGION METROPOLITANA,Región Metropolitana de Santiago,PRODUCCIÓN GENERAL DÍA NACIONAL DEL VINO 2026,25000000.0,False,False,,,DIA,,1422039-20-LE26,2026-07-28T12:50:56.663,2026-08-07T17:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1422039-20-LE26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE CONCHALI,Región Metropolitana de Santiago,CONTRATACION DE PRODUCTORA CON SERVICIO INTEGRAL PARA LA EJECUCIÓN DE LA CELEBRACIÓN DEL DIA DEL DIRIGENTE SOCIAL Y COMUNITARIO DEX N°780,12000000.0,False,False,,,DIA,,2296-47-LE26,2026-08-04T12:15:20.557,2026-08-10T15:01:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2296-47-LE26
10,ALTA,NORMAL,,ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,Región Metropolitana de Santiago,PRODUCCIÓN Y DESARROLLO DE EVENTO DÍA DEL DIRIGENTE SOCIAL,30600000.0,False,False,,,DIA,,2455-43-LE26,2026-08-03T17:09:24.26,2026-08-11T15:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2455-43-LE26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE PARRAL,Región del Maule,PRODUCCIÓN CELEBRACIÓN DÍA MUNDIAL DEL FOLCLOR,,False,False,,,DIA,,2595-84-L126,2026-08-03T15:43:02.623,2026-08-11T09:01:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2595-84-L126
10,ALTA,NORMAL,,I MUNICIPALIDAD DE CARTAGENA,Región de Valparaíso,CELEBRACIÓN DÍA DEL NIÑO ANIVERSARIO COMUNAL ACTIVIDADES COMO CUECAZO DÍA DEL DIRIGENTE FIESTA DE LOS 80´ Y CORRIDA FAMILIAR,25000000.0,False,False,,,DIA,,2697-24-LE26,2026-07-30T18:55:00,2026-08-11T16:12:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2697-24-LE26
10,ALTA,NORMAL,,MUNICIPALIDAD DE OVALLE,Región de Coquimbo,MEJORAMIENTO Y CONSERVACIÓN DE INFRAESTRUCTURA – ESCUELAS DEM OVALLE,,False,False,,,DEM,,2711-26-LP26,2026-07-09T10:38:01.903,2026-08-10T15:01:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2711-26-LP26
10,ALTA,NORMAL,,Municipalidad de Huechuraba,Región Metropolitana de Santiago,SERVICIOS ESPECIALIZADOS PARA EVALUACIÓN DIAGNÓSTICA E INTERVENCIÓN TERAPÉUTICA PARA PERSONAS CON TRASTORNO DEL ESPECTRO AUTISTA TEA,,False,False,,,TEA,,2792-8-LE26,2026-07-27T18:57:16.607,2026-08-10T15:01:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2792-8-LE26
10,ALTA,NORMAL,,Municipalidad de Huechuraba,Región Metropolitana de Santiago,DESARROLLO Y PRODUCCIÓN DEL EVENTO CELEBRACIÓN DÍA DEL  DIRIGENTE SOCIAL,,False,False,,,DIA,,2793-99-LP26,2026-07-22T17:19:50.09,2026-08-11T11:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2793-99-LP26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE SANTO DOMINGO,Región de Valparaíso,SERVICIO DE PRODUCCION DE EVENTO- DIA DEL DIRIGENTE SOCIAL,,False,False,,,DIA,,3232-45-LE26,2026-07-28T16:43:00,2026-08-07T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3232-45-LE26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE SANTA CRUZ,Región del Libertador General Bernardo O´Higgins,MANTEN. PLANTAS DE TRATAMIENTO AGUAS SERVIDAS DAEM,,False,False,,,DAEM,,3863-46-LE26,2026-07-29T09:18:02.03,2026-08-07T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3863-46-LE26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE CODEGUA,Región del Libertador General Bernardo O´Higgins,“Adquisición de Insumos para Equipos de Impresoras Fotocopiadora y Duplicador para los Establecimientos Educacionales y DAEM de la comuna de Codegua”,33000000.0,False,False,,,DAEM,,4737-5-LE26,2026-07-29T10:38:02.43,2026-08-07T10:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=4737-5-LE26
10,ALTA,NORMAL,,CORP MUNICIPAL DE DESARROLLO SOCIAL DE A,Región de Antofagasta,SERVICIO RED BIENESTAR SOCIOEMOCIONAL,185890000.0,False,False,,,bienestar socioemocional,,558869-48-LP26,2026-07-21T16:10:00,2026-08-10T17:28:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=558869-48-LP26
10,MEDIA,NORMAL,,SUBSECRETARIA DEL MEDIO AMBIENTE,Región Metropolitana de Santiago,ELABORACIÓN Y PRESENTACIÓN DIDÁCTICA DE INSTRUMENTOS Y MATERIAL DE EDUCACIÓN AMBIENTAL EN EL MARCO DE LA IMPLEMENTACIÓN DEL PLAN DE ACCIÓN REGIONAL DE CAMBIO CLIMÁTICO DE LA REGIÓN METROPOLITANA,18000000.0,False,False,,,,didáctica · educación ambiental,611134-8-LE26,2026-07-30T10:02:48.263,2026-08-11T15:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=611134-8-LE26
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,Región de Coquimbo,Servicio de hosting SLEP Puerto Cordillera,31320000.0,False,False,,,,SLEP · servicio local de educación,1002588-82-LE26,2026-07-28T10:59:26.05,2026-08-07T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1002588-82-LE26
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Región de Arica y Parinacota,CONVENIO  DE  SUMINISTRO  DE  TOUR  PATRIMONIAL  A  LA  REGION  DE  TARAPACA  PARA  ALUMNADO  DE  LOS  ESTABLECIMIENTOS EDUCACIONALES COMUNA DE  ARICA PERTENECIENTES AL SLEP DE CHINCHORRO,,False,False,,,,SLEP · servicio local de educación,1110404-120-B226,2026-07-15T17:41:18.21,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1110404-120-B226
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Región de Arica y Parinacota,CONVENIO DE SUMINISTRO DE INSTRUMENTOS MUSICALES PARA ESTABLECIMIENTOS PERTENECIENTES AL SLEP CHINCHORRO DE ARICA PERIODO 2026 Y 2027,70000000.0,False,False,,,,SLEP · servicio local de educación,1110404-129-LE26,2026-07-30T11:54:21.07,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1110404-129-LE26
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Región de Arica y Parinacota,"“ADQUISICIÓN DE HORAS DE ACCESO A SIMULADOR DE MANEJO MINERO PARA LA ESPECIALIDAD DE EXPLOTACIÓN MINERA DEL LICEO BICENTENARIO PABLO NERUDA, SLEP CHINCHORRO”.",4350000.0,False,False,,,,SLEP · servicio local de educación,1110404-132-L126,2026-07-31T11:10:40.02,2026-08-07T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1110404-132-L126
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Región de Arica y Parinacota,"ADQUISICIÓN DE MATERIALES DIDACTICOS PARA LA ESCUELA REPUBLICA DE ARGENTINA, SLEP CHINCHORRO",750000.0,False,False,,,,SLEP · servicio local de educación,1110404-133-L126,2026-07-31T17:00:37.877,2026-08-10T16:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1110404-133-L126
10,MEDIA,NORMAL,,Servicio Local de Educación Pública Magallanes,Región de Magallanes y de la Antártica,SERVICIO DE CAPACITACIÓN PUENTE INCLUSIVO,9000000.0,False,False,,,,servicio local de educación · capacitación,1233613-54-LE26,2026-07-30T11:52:37.263,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1233613-54-LE26
10,MEDIA,NORMAL,,Servicio Local de Educación Pública Aysén,Región Aysén del General Carlos Ibáñez del Campo,Diagnostico Clima Organizacional SLEP,10000000.0,False,False,,,,SLEP · servicio local de educación,1233615-54-LE26,2026-07-31T14:57:53.95,2026-08-10T17:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1233615-54-LE26
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE COSTA CENTRAL,Región de Valparaíso,SERVICIO DE CAPACITACIÓN,,False,False,,,,servicio local de educación · capacitación,1305525-34-LE26,2026-07-30T16:59:29.13,2026-08-10T15:15:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1305525-34-LE26
10,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Región de Arica y Parinacota,"""ADQUISICIÓN DE IMPLEMENTOS PEDAGÓGICOS, PSICOMOTORES Y TECNOLÓGICOS PARA ESTABLECIMIENTO EDUCACIONAL PERTENECIENTE AL SLEP CHINCHORRO""",1205871.0,False,False,,,,SLEP · servicio local de educación,1521144-3-L126,2026-07-29T16:41:30.613,2026-08-07T10:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1521144-3-L126
10,MEDIA,NORMAL,,CORP NACIONAL DE DESARROLLO INDIGENA,Región de los Lagos,CAPACITACION Y ASISTENCIA TECNICA PARA BENEFICIARIOS  CONCURSO PUBLICO FORTALECIMIENTO  A LOS SISTEMAS PRODUCTIVOS  REGION DE LOS LAGOS AÑO 2026,30000000.0,False,False,,,,capacitación,807-34-LE26,2026-07-29T15:43:30.157,2026-08-10T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=807-34-LE26
10,MEDIA,NORMAL,,JUNTA NACIONAL DE JARDINES         INFANTILES,Región de los Lagos,Servicio de Flete PG02 JUNJI Region de Los Lagos.,,False,False,,,,JUNJI,853-21-LE26,2026-07-29T17:03:35.417,2026-08-10T15:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=853-21-LE26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE IQUIQUE,Región de Tarapacá,SS PRODUCCION DE EVENTOS DIA DEL CIRCO,20000000.0,False,False,,,DIA,,2405-124-LE26,2026-07-31T21:46:14.337,2026-08-13T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2405-124-LE26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE SANTIAGO,Región Metropolitana de Santiago,CELEBRACIÓN DÍA DEL FUNCIONARIO MUNICIPAL2026-2028,270000000.0,False,False,,,DIA,,2582-41-LP26,2026-08-03T16:17:14.533,2026-08-24T15:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2582-41-LP26
10,ALTA,NORMAL,,UNIVERSIDAD DEL BIO BIO,Región del Ñuble,DESARROLLO DE UN PLAN DE ACOMPAÑAMIENTO PEDAGOGICO,14117647.0,False,False,,,acompañamiento pedagógico,,2705-41-LE26,2026-07-31T12:28:10.627,2026-08-14T19:59:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2705-41-LE26
10,ALTA,NORMAL,,MUNICIPALIDAD DE PEÑAFLOR,Región Metropolitana de Santiago,Serv. Producción Técnica día del Dirigente,,False,False,,,DIA,,2732-26-LP26,2026-07-24T10:16:15.34,2026-08-13T15:10:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2732-26-LP26
10,ALTA,NORMAL,,Municipalidad de Huechuraba,Región Metropolitana de Santiago,SERVICIO DE ASISTENCIA TÉCNICA EDUCATIVA,,False,False,,,asistencia técnica educativa,,2791-26-LE26,2026-08-04T17:13:02.033,2026-08-14T10:02:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2791-26-LE26
10,ALTA,NORMAL,,I MUNICIPALIDAD DE SANTA CRUZ,Región del Libertador General Bernardo O´Higgins,COMPRA INSUMOS PARA CURACIÓN AVANZADA DE PIE DIABE,,False,False,,,PIE,,3864-41-LE26,2026-08-04T09:54:00.223,2026-08-14T12:30:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3864-41-LE26
10,ALTA,NORMAL,,SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES,Región Aysén del General Carlos Ibáñez del Campo,Ss PROD:II ENC CULTORES-VII FERIA-CEREM PREMIO REGIONAL y DIA DDHH,82800000.0,False,False,,,DIA,,4889-32-LP26,2026-07-27T14:53:28.86,2026-08-17T15:01:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=4889-32-LP26
